TimeOFCR2																		
Box1																		
Animal ID	cont6_SI																	
Group	control																	
User Name	user1																	
Exp. Date	1/18/2019																	
Start Time	16:43																	
Finish Time	16:46																	
Project Name	20150721SocialDefeat																	
Session Name	20190118-1																	
Parameters																		
lower threshould: 	0																	
upper threshould: 	190																	
rate(frame/sec): 	2																	
duration(sec): 	150																	
bin duration(sec): 	60																	
subject size - min(pixcels): 	50																	
subject size - max(pixcels): 	2000																	
width(cm):	40																	
moving criterion(cm/sec): 	3.0																	
erode 	ON																	
No of erode: 	1																	
dilate 	ON																	
No of dilate: 	1																	
Auto Start	OFF																	
Center Region %	36																	
Backgound Color:	White																	
50	112	48	763	0.74	1	8	1	1	 	0	0.00	0.00		0	 	0	0	0
51	114	51	768	0.69	1	8	1	1	 	0	0.00	0.00		0	 	0	0	0
52	122	50	733	1.42	1	8	1	1	 	0	0.00	0.00		0	 	0	0	0
53	124	49	748	0.42	1	8	1	0	 	0	0.00	0.00		0	 	0	0	0
54	138	49	871	2.43	0	9	1	0	 	3	0.00	2.43		0	 	0	0	0
55	174	35	793	6.61	0	4	0	0	 	3	0.00	9.04	straight	160	 	0	0	1
56	202	18	704	5.72	0	5	0	0	 	3	0.00	14.76	straight	169	 	0	0	1
57	203	22	695	0.71	1	5	0	0	 	3	0.50	15.47	obtuse right	82	 	0	0	1
58	184	12	724	3.79	0	4	0	0	 	3	0.00	19.26	obtuse right	40	 	0	0	1
59	177	11	749	1.25	1	4	0	0	 	3	0.50	20.50	straight	161	 	0	0	1
60	174	10	673	0.49	1	4	0	0	 	3	1.00	20.99	d<1	-1	 	0	0	1
61	172	8	439	0.58	1	4	0	0	 	3	1.50	21.57	obtuse right	143	 	0	0	1
62	168	7	285	0.70	1	4	0	1	 	3	2.00	22.27	obtuse left	149	 	0	0	1
63	171	8	396	0.62	1	4	0	1	 	3	2.50	22.89	sharp	3	 	0	0	1
64	175	8	358	0.70	1	4	0	1	 	3	3.00	23.58	straight	162	 	0	0	1
65	175	9	604	0.18	1	4	0	0	 	3	3.50	23.77	d<1	-1	 	0	0	1
66	172	12	672	0.73	1	4	0	0	 	3	4.00	24.49	obtuse right	119	 	0	0	1
67	167	18	749	1.49	1	4	0	0	 	3	4.50	25.98	straight	164	 	0	0	1
68	165	21	700	0.55	1	4	0	0	 	3	5.00	26.53	straight	177	I	0	0	1
69	159	32	800	2.27	0	4	0	0	 	4	0.00	2.27		0	 	0	0	0
70	140	62	896	6.19	0	9	1	0	 	4	0.00	8.46	straight	176	 	0	0	0
71	139	66	764	0.63	1	9	1	0	 	4	0.50	9.08	straight	155	 	0	0	0
72	109	54	882	5.69	0	8	1	0	 	4	0.00	14.77	obtuse right	77	 	0	0	0
73	103	51	824	1.13	1	8	1	0	 	4	0.50	15.90	straight	172	 	0	0	0
74	98	52	837	0.90	1	8	1	0	 	4	1.00	16.80	obtuse left	138	 	0	0	0
75	51	36	806	8.67	0	2	0	0	 	4	0.00	25.47	obtuse right	148	 	1	0	0
76	23	23	717	5.31	0	1	0	0	 	4	0.00	30.78	straight	173	 	1	0	0
77	24	27	761	0.73	1	1	0	0	 	4	0.50	31.51	obtuse left	52	 	1	0	0
78	19	49	771	4.01	0	6	0	0	 	4	0.00	35.52	straight	156	 	1	0	0
79	12	61	676	2.41	0	6	0	0	 	4	0.00	37.93	straight	162	 	1	0	0
80	11	57	448	0.81	1	6	0	1	 	4	0.50	38.74	obtuse right	53	 	1	0	0
81	14	55	556	0.64	1	6	0	1	 	4	1.00	39.37	obtuse right	95	 	1	0	0
82	26	46	698	2.68	0	6	0	0	 	4	0.00	42.06	straight	169	 	1	0	0
83	42	20	810	5.29	0	1	0	0	 	4	0.00	47.35	straight	163	 	1	0	0
84	53	18	663	1.98	0	2	0	0	 	4	0.00	49.33	obtuse right	136	 	1	0	0
85	57	14	516	0.89	1	2	0	0	 	4	0.50	50.21	obtuse left	146	 	1	0	0
86	58	14	441	0.24	1	2	0	0	 	4	1.00	50.45	d<1	-1	 	1	0	0
87	59	14	447	0.17	1	2	0	0	 	4	1.50	50.63	d<1	-1	 	1	0	0
88	58	18	536	0.65	1	2	0	0	 	4	2.00	51.28	obtuse right	51	 	1	0	0
89	57	17	541	0.10	1	2	0	0	 	4	2.50	51.38	d<1	-1	 	1	0	0
