TimeOFCR2																		
Box1																		
Animal ID	MD4_object																	
Group	MD																	
User Name	user1																	
Exp. Date	1/18/2019																	
Start Time	16:22																	
Finish Time	16:24																	
Project Name	20150721SocialDefeat																	
Session Name	20190118-1																	
Parameters																		
lower threshould: 	0																	
upper threshould: 	190																	
rate(frame/sec): 	2																	
duration(sec): 	150																	
bin duration(sec): 	60																	
subject size - min(pixcels): 	50																	
subject size - max(pixcels): 	2000																	
width(cm):	40																	
moving criterion(cm/sec): 	3.0																	
erode 	ON																	
No of erode: 	1																	
dilate 	ON																	
No of dilate: 	1																	
Auto Start	OFF																	
Center Region %	36																	
Backgound Color:	White																	
49	202	27	749	0.55	1	5	0	0	 	3	0.50	25.92	obtuse right	60	 	0	0	1
50	200	25	757	0.46	1	5	0	0	 	3	1.00	26.38	d<1	-1	 	0	0	1
51	188	29	785	2.22	0	5	0	0	 	3	0.00	28.60	obtuse left	114	 	0	0	1
52	173	29	831	2.48	0	4	0	0	 	3	0.00	31.08	straight	160	 	0	0	1
53	178	30	749	0.85	1	4	0	0	 	3	0.50	31.93	sharp	8	 	0	0	1
54	171	58	844	4.95	0	9	1	0	 	3	0.00	36.88	obtuse right	83	 	0	0	1
55	165	82	795	4.40	0	9	1	0	 	3	0.00	41.28	straight	180	 	0	0	0
56	135	86	879	5.22	0	8	1	0	 	3	0.00	46.51	obtuse right	112	S	0	0	0
57	121	72	902	3.50	0	8	1	0	 	4	0.00	3.50		0	 	0	0	0
58	114	61	927	2.20	0	8	1	0	 	4	0.00	5.70	straight	171	 	0	0	0
59	117	62	898	0.49	1	8	1	0	 	4	0.50	6.19	d<1	-1	 	0	0	0
60	122	62	900	0.85	1	8	1	0	 	4	1.00	7.04	straight	176	S	0	0	0
61	121	61	876	0.29	1	8	1	0	 	0	0.00	0.00		0	 	0	0	0
62	117	62	876	0.67	1	8	1	0	 	0	0.00	0.00		0	 	0	0	0
63	90	68	861	4.84	0	7	1	0	 	5	0.00	4.84		0	 	0	0	0
64	53	88	829	7.31	0	12	1	0	 	5	0.00	12.15	straight	165	 	0	0	0
65	30	106	777	5.02	0	11	0	0	 	5	0.00	17.17	straight	171	 	0	0	0
66	37	113	773	1.85	0	11	0	0	 	5	0.00	19.02	obtuse left	83	 	0	0	0
67	65	84	871	7.02	0	7	1	0	 	5	0.00	26.04	obtuse left	88	 	0	0	0
68	78	61	858	4.59	0	7	1	0	 	5	0.00	30.63	straight	166	 	0	0	0
69	73	60	835	1.00	1	7	1	0	 	5	0.50	31.63	obtuse left	69	 	0	0	0
70	56	39	828	4.70	0	2	0	0	 	5	0.00	36.33	obtuse right	138	 	1	0	0
71	32	22	776	5.12	0	1	0	0	 	5	0.00	41.45	straight	164	 	1	0	0
72	41	24	702	1.54	0	1	0	0	 	5	0.00	42.99	sharp	20	 	1	0	0
73	51	19	761	2.07	0	2	0	0	 	5	0.00	45.05	obtuse left	138	 	1	0	0
74	53	20	740	0.34	1	2	0	0	 	5	0.50	45.39	d<1	-1	 	1	0	0
75	53	22	745	0.27	1	2	0	0	 	5	1.00	45.66	d<1	-1	 	1	0	0
76	53	24	743	0.35	1	2	0	0	 	5	1.50	46.01	d<1	-1	 	1	0	0
77	52	28	765	0.73	1	2	0	0	 	5	2.00	46.74	straight	166	 	1	0	0
78	72	41	934	4.08	0	2	0	0	 	5	0.00	50.82	obtuse left	116	 	0	0	0
79	117	55	902	8.19	0	8	1	0	 	5	0.00	59.01	straight	165	S	0	0	0
80	130	55	826	2.29	0	8	1	0	 	6	0.00	2.29		0	 	0	0	0
81	131	55	764	0.13	1	8	1	0	 	6	0.50	2.43	d<1	-1	 	0	0	0
82	135	54	761	0.73	1	8	1	0	 	6	1.00	3.16	obtuse left	136	 	0	0	0
83	147	47	884	2.50	0	9	1	0	 	6	0.00	5.65	straight	165	 	0	0	0
84	181	22	741	7.36	0	4	0	0	 	6	0.00	13.01	straight	173	 	0	0	1
85	182	21	745	0.16	1	4	0	0	 	6	0.50	13.17	d<1	-1	 	0	0	1
86	187	33	766	2.30	0	5	0	0	 	6	0.00	15.47	obtuse right	59	 	0	0	1
87	211	55	719	5.70	0	10	0	0	 	6	0.00	21.17	straight	154	 	0	0	1
88	214	62	667	1.30	1	10	0	0	 	6	0.50	22.47	straight	151	 	0	0	1
89	212	86	807	4.25	0	10	0	0	 	6	0.00	26.73	straight	157	 	0	0	0
90	216	146	785	10.45	0	20	0	0	 	6	0.00	37.18	straight	172	 	0	0	0
91	217	179	796	5.64	0	25	0	0	 	6	0.00	42.81	straight	177	 	0	0	0
92	216	176	719	0.43	1	20	0	0	 	6	0.50	43.24	d<1	-1	 	0	0	0
93	212	167	710	1.85	0	20	0	0	 	6	0.00	45.10	straight	167	 	0	0	0
94	178	196	796	7.81	0	24	0	0	 	6	0.00	52.90	obtuse left	74	 	0	0	0
95	143	210	637	6.63	0	24	0	0	 	6	0.00	59.53	straight	162	 	0	0	0
96	132	210	629	1.80	0	23	0	0	 	6	0.00	61.33	straight	157	 	0	0	0
97	135	208	724	0.61	1	23	0	0	 	6	0.50	61.94	obtuse right	40	 	0	0	0
98	97	182	848	7.94	0	23	0	0	 	6	0.00	69.88	obtuse left	74	 	0	0	0
99	67	150	860	7.77	0	17	1	0	 	6	0.00	77.66	straight	167	 	0	1	0
100	59	108	855	7.31	0	12	1	0	 	6	0.00	84.97	obtuse right	148	D	0	0	0
101	49	61	839	8.39	0	7	1	0	 	7	0.00	8.39		0	 	1	0	0
102	43	27	747	6.01	0	1	0	0	 	7	0.00	14.40	straight	180	 	1	0	0
103	53	31	719	1.77	0	2	0	0	 	7	0.00	16.17	obtuse right	58	 	1	0	0
104	57	25	764	1.28	1	2	0	0	 	7	0.50	17.45	obtuse left	104	 	1	0	0
105	57	28	719	0.60	1	2	0	0	 	7	1.00	18.05	obtuse right	32	 	1	0	0
106	58	30	687	0.36	1	2	0	0	 	7	1.50	18.41	d<1	-1	 	1	0	0
107	58	29	675	0.10	1	2	0	0	 	7	2.00	18.51	d<1	-1	 	1	0	0
108	59	28	708	0.14	1	2	0	0	 	7	2.50	18.66	d<1	-1	 	1	0	0
109	57	30	709	0.44	1	2	0	0	 	7	3.00	19.10	d<1	-1	 	1	0	0
110	60	35	728	1.00	1	2	0	0	 	7	3.50	20.10	obtuse left	115	 	1	0	0
111	66	35	641	0.96	1	2	0	0	 	7	4.00	21.06	obtuse left	121	 	1	0	0
112	70	38	836	0.98	1	2	0	0	 	7	4.50	22.05	straight	150	 	1	0	0
113	96	46	898	4.65	0	8	1	0	 	7	0.00	26.69	straight	167	 	0	0	0
114	113	48	846	3.00	0	8	1	0	 	7	0.00	29.69	straight	166	 	0	0	0
115	135	46	877	3.76	0	8	1	0	 	7	0.00	33.46	straight	174	 	0	0	0
116	170	36	796	6.32	0	4	0	0	 	7	0.00	39.77	straight	166	 	0	0	1
117	168	29	769	1.35	1	4	0	0	 	7	0.50	41.13	obtuse left	93	 	0	0	1
118	167	28	724	0.19	1	4	0	0	 	7	1.00	41.32	d<1	-1	 	0	0	1
119	168	27	754	0.22	1	4	0	0	 	7	1.50	41.54	d<1	-1	 	0	0	1
120	168	24	735	0.55	1	4	0	0	 	7	2.00	42.09	obtuse left	143	 	0	0	1
121	170	32	757	1.50	0	4	0	0	 	7	0.00	43.59	sharp	12	 	0	0	1
122	136	53	883	6.94	0	8	1	0	 	7	0.00	50.54	obtuse right	107	 	0	0	0
123	118	54	903	3.11	0	8	1	0	 	7	0.00	53.64	straight	151	 	0	0	0
124	86	49	852	5.61	0	7	1	0	 	7	0.00	59.26	straight	168	 	0	0	0
125	47	30	731	7.57	0	2	0	0	 	7	0.00	66.83	straight	163	 	1	0	0
126	48	27	709	0.53	1	2	0	0	 	7	0.50	67.36	obtuse right	114	 	1	0	0
127	57	21	687	1.93	0	2	0	0	 	7	0.00	69.29	obtuse right	124	 	1	0	0
128	57	27	661	1.09	1	2	0	0	 	7	0.50	70.38	obtuse right	62	 	1	0	0
129	59	28	645	0.44	1	2	0	0	 	7	1.00	70.82	d<1	-1	 	1	0	0
130	61	24	531	0.79	1	2	0	1	 	7	1.50	71.60	obtuse left	79	 	1	0	0
131	64	28	426	0.77	1	2	0	1	 	7	2.00	72.37	obtuse right	57	 	1	0	0
132	64	31	639	0.57	1	2	0	0	 	7	2.50	72.94	straight	158	 	1	0	0
133	86	46	850	4.65	0	7	1	0	 	7	0.00	77.59	obtuse left	136	 	0	0	0
134	132	56	864	8.18	0	8	1	0	 	7	0.00	85.77	straight	157	D	0	0	0
135	167	46	803	6.37	0	9	1	0	 	8	0.00	6.37		0	 	0	0	1
136	166	42	722	0.72	1	4	0	0	 	8	0.50	7.09	obtuse left	86	 	0	0	1
137	162	43	756	0.72	1	4	0	0	 	8	1.00	7.81	obtuse left	91	 	0	0	1
138	127	46	846	6.10	0	8	1	0	 	8	0.00	13.91	straight	165	S	0	0	0
139	114	47	816	2.20	0	8	1	0	 	9	0.00	2.20		0	 	0	0	0
140	75	44	835	6.81	0	2	0	0	 	9	0.00	9.01	straight	172	 	0	0	0
141	54	25	752	4.95	0	2	0	0	 	9	0.00	13.96	obtuse right	143	 	1	0	0
